code,name,settype,role,meter,phase,vcb,op,cap,expand_ref
17256,低圧セット マルチ スコット 150KVA,低圧,,マルチ,スコット,,,150KVA,71091x1;43321x1;45059x1;46401x1;42082x2;CT?x4;LUG?x2
17257,低圧セット マルチ スコット 200KVA,低圧,,マルチ,スコット,,,200KVA,71091x1;43321x1;45060x1;46401x1;42082x2;CT?x4;LUG?x2
17258,低圧セット マルチ スコット 300KVA,低圧,,マルチ,スコット,,,300KVA,71091x1;43321x1;45061x1;46401x1;42082x2;CT?x4;LUG?x2
11031,高圧セット 受電盤 普通 8KA 手動,高圧,受電盤,普通,,8KA,手動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43001x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11032,高圧セット 受電盤 普通 8KA 電動,高圧,受電盤,普通,,8KA,電動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43003x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11041,高圧セット 受電盤 普通 12.5KA 手動,高圧,受電盤,普通,,12.5KA,手動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43011x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
11042,高圧セット 受電盤 普通 12.5KA 電動,高圧,受電盤,普通,,12.5KA,電動,,71091x1;43424x1;42001x1;42010x1;42020x1;42022x1;71001x1;71002x1;71056x1;43013x1;46001x1;44030x1;44130x1;44011?x2;44104?x2;71021x1;73000x4
11071,高圧セット 饋電盤 普通 8KA 手動,高圧,饋電盤,普通,,8KA,手動,,71091x1;43424x1;42010x1;71002x1;71056x1;43001x1;46001x1;44130x1;44104?x2
11072,高圧セット 饋電盤 普通 8KA 電動,高圧,饋電盤,普通,,8KA,電動,,71091x1;43424x1;42010x1;71002x1;71056x1;43003x1;46001x1;44130x1;44104?x2;71021x1;73000x4
11081,高圧セット 饋電盤 普通 12.5KA 手動,高圧,饋電盤,普通,,12.5KA,手動,,71091x1;43424x1;42010x1;71002x1;71056x1;43011x1;46001x1;44130x1;44104?x2
11082,高圧セット 饋電盤 普通 12.5KA 電動,高圧,饋電盤,普通,,12.5KA,電動,,71091x1;43424x1;42010x1;71002x1;71056x1;43013x1;46001x1;44130x1;44104?x2;71021x1;73000x4
11331,高圧セット 受電盤 広角 8KA 手動,高圧,受電盤,広角,,8KA,手動,,71091x1;43424x1;42002x1;42012x1;42030x1;42032x1;71001x1;71002x1;71056x1;43001x1;46001x1;44030x1;44130x1;44011?x2;44104?x2
